Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  67.29345869173835  predictions:  {0: 2896, 1: 1925, 2: 178}
1 Accuracy:  68.51370274054811  predictions:  {0: 2791, 1: 2012, 2: 196}
2 Accuracy:  68.43368673734747  predictions:  {0: 2692, 1: 2100, 2: 207}
3 Accuracy:  69.29385877175434  predictions:  {0: 2709, 1: 2056, 2: 234}
4 Accuracy:  69.59391878375675  predictions:  {0: 2701, 1: 2018, 2: 280}
5 Accuracy:  69.43388677735547  predictions:  {0: 2770, 1: 1999, 2: 230}
6 Accuracy:  69.85397079415884  predictions:  {0: 2729, 1: 2022, 2: 248}
7 Accuracy:  69.31386277255451  predictions:  {0: 2745, 1: 2034, 2: 220}
8 Accuracy:  70.05401080216043  predictions:  {0: 2808, 1: 1936, 2: 255}
9 Accuracy:  68.85377075415083  predictions:  {0: 2752, 1: 1998, 2: 249}
10 Accuracy:  69.45389077815564  predictions:  {0: 2761, 1: 1980, 2: 258}
11 Accuracy:  69.37387477495498  predictions:  {0: 2708, 1: 2052, 2: 239}
12 Accuracy:  69.41388277655531  predictions:  {0: 2811, 1: 1904, 2: 284}
13 Accuracy:  69.55391078215644  predictions:  {0: 2784, 1: 2026, 2: 189}
14 Accuracy:  69.83396679335867  predictions:  {0: 2722, 1: 2044, 2: 233}
15 Accuracy:  69.29385877175434  predictions:  {0: 2561, 1: 2139, 2: 299}
16 Accuracy:  69.53390678135627  predictions:  {0: 2821, 1: 1939, 2: 239}
17 Accuracy:  69.83396679335867  predictions:  {0: 2724, 1: 2009, 2: 266}
18 Accuracy:  69.53390678135627  predictions:  {0: 2795, 1: 1952, 2: 252}
19 Accuracy:  69.13382676535306  predictions:  {0: 2753, 1: 1967, 2: 279}
20 Accuracy:  69.79395879175834  predictions:  {0: 2705, 1: 1998, 2: 296}
21 Accuracy:  70.03400680136028  predictions:  {0: 2887, 1: 1788, 2: 324}
22 Accuracy:  68.61372274454891  predictions:  {0: 2488, 1: 2228, 2: 283}
23 Accuracy:  69.81396279255851  predictions:  {0: 2793, 1: 1972, 2: 234}
24 Accuracy:  69.27385477095419  predictions:  {0: 2655, 1: 2100, 2: 244}
25 Accuracy:  69.35387077415484  predictions:  {0: 2697, 1: 2074, 2: 228}
26 Accuracy:  68.97379475895178  predictions:  {0: 2612, 1: 2105, 2: 282}
27 Accuracy:  69.73394678935787  predictions:  {0: 2669, 1: 2040, 2: 290}
28 Accuracy:  69.35387077415484  predictions:  {0: 2721, 1: 1990, 2: 288}
29 Accuracy:  69.01380276055211  predictions:  {0: 2639, 1: 2151, 2: 209}
30 Accuracy:  68.69373874774955  predictions:  {0: 3078, 1: 1713, 2: 208}
31 Accuracy:  69.81396279255851  predictions:  {0: 2701, 1: 1986, 2: 312}
32 Accuracy:  69.81396279255851  predictions:  {0: 2607, 1: 2071, 2: 321}
33 Accuracy:  68.85377075415083  predictions:  {0: 2656, 1: 2127, 2: 216}
34 Accuracy:  69.83396679335867  predictions:  {0: 2671, 1: 2056, 2: 272}
35 Accuracy:  69.27385477095419  predictions:  {0: 2633, 1: 2133, 2: 233}
36 Accuracy:  69.29385877175434  predictions:  {0: 2698, 1: 2042, 2: 259}
37 Accuracy:  69.93398679735947  predictions:  {0: 2634, 1: 2076, 2: 289}
38 Accuracy:  70.35407081416282  predictions:  {0: 2751, 1: 1946, 2: 302}
39 Accuracy:  69.53390678135627  predictions:  {0: 2898, 1: 1864, 2: 237}
40 Accuracy:  68.75375075015003  predictions:  {0: 2980, 1: 1808, 2: 211}
41 Accuracy:  69.83396679335867  predictions:  {0: 2765, 1: 1966, 2: 268}
42 Accuracy:  69.43388677735547  predictions:  {0: 2750, 1: 1953, 2: 296}
43 Accuracy:  68.89377875575114  predictions:  {0: 2686, 1: 2050, 2: 263}
44 Accuracy:  69.9739947989598  predictions:  {0: 2651, 1: 2054, 2: 294}
45 Accuracy:  69.59391878375675  predictions:  {0: 2874, 1: 1910, 2: 215}
46 Accuracy:  69.29385877175434  predictions:  {0: 2767, 1: 1947, 2: 285}
47 Accuracy:  69.39387877575514  predictions:  {0: 2770, 1: 1917, 2: 312}
48 Accuracy:  69.21384276855372  predictions:  {0: 2897, 1: 1827, 2: 275}
49 Accuracy:  69.95399079815962  predictions:  {0: 2616, 1: 2104, 2: 279}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  67.23344668933787  predictions:  {0: 2646, 1: 2159, 2: 194}
1 Accuracy:  69.53390678135627  predictions:  {0: 2820, 1: 1916, 2: 263}
2 Accuracy:  70.13402680536107  predictions:  {0: 2793, 1: 1926, 2: 280}
3 Accuracy:  69.4738947789558  predictions:  {0: 2687, 1: 2089, 2: 223}
4 Accuracy:  69.75395079015804  predictions:  {0: 2878, 1: 1869, 2: 252}
5 Accuracy:  69.71394278855772  predictions:  {0: 2700, 1: 2065, 2: 234}
6 Accuracy:  70.43408681736348  predictions:  {0: 2710, 1: 1999, 2: 290}
7 Accuracy:  68.89377875575114  predictions:  {0: 2702, 1: 2113, 2: 184}
8 Accuracy:  69.99399879975995  predictions:  {0: 2843, 1: 1880, 2: 276}
9 Accuracy:  70.03400680136028  predictions:  {0: 2721, 1: 1983, 2: 295}
10 Accuracy:  69.65393078615723  predictions:  {0: 2798, 1: 1968, 2: 233}
11 Accuracy:  70.33406681336267  predictions:  {0: 2769, 1: 1929, 2: 301}
12 Accuracy:  71.05421084216843  predictions:  {0: 2748, 1: 1872, 2: 379}
13 Accuracy:  70.57411482296459  predictions:  {0: 2813, 1: 1828, 2: 358}
14 Accuracy:  70.59411882376475  predictions:  {0: 2618, 1: 2015, 2: 366}
15 Accuracy:  70.7741548309662  predictions:  {0: 2726, 1: 1963, 2: 310}
16 Accuracy:  70.13402680536107  predictions:  {0: 2638, 1: 2053, 2: 308}
17 Accuracy:  70.29405881176235  predictions:  {0: 2906, 1: 1817, 2: 276}
18 Accuracy:  70.71414282856571  predictions:  {0: 2784, 1: 1822, 2: 393}
19 Accuracy:  71.13422684536907  predictions:  {0: 2708, 1: 1974, 2: 317}
20 Accuracy:  70.07401480296059  predictions:  {0: 2519, 1: 2160, 2: 320}
21 Accuracy:  70.39407881576315  predictions:  {0: 2750, 1: 1923, 2: 326}
22 Accuracy:  70.69413882776556  predictions:  {0: 2686, 1: 1979, 2: 334}
23 Accuracy:  71.0742148429686  predictions:  {0: 2666, 1: 1987, 2: 346}
24 Accuracy:  71.0742148429686  predictions:  {0: 2756, 1: 1938, 2: 305}
25 Accuracy:  69.4738947789558  predictions:  {0: 2662, 1: 2023, 2: 314}
26 Accuracy:  70.05401080216043  predictions:  {0: 2765, 1: 1940, 2: 294}
27 Accuracy:  69.63392678535708  predictions:  {0: 2827, 1: 1903, 2: 269}
28 Accuracy:  70.03400680136028  predictions:  {0: 2793, 1: 1875, 2: 331}
29 Accuracy:  70.93418683736748  predictions:  {0: 2808, 1: 1863, 2: 328}
30 Accuracy:  69.79395879175834  predictions:  {0: 2766, 1: 1924, 2: 309}
