Stratifying data
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  60.73004412354592  predictions:  {0: 1580, 1: 913}
1 Accuracy:  60.24869634977939  predictions:  {0: 1710, 1: 745, 2: 38}
2 Accuracy:  63.136782992378656  predictions:  {0: 1438, 1: 922, 2: 133}
3 Accuracy:  63.21700762133975  predictions:  {0: 1462, 1: 924, 2: 107}
4 Accuracy:  63.57801845166466  predictions:  {0: 1283, 1: 1086, 2: 124}
5 Accuracy:  64.13959085439231  predictions:  {0: 1351, 1: 1017, 2: 125}
6 Accuracy:  62.97633373445648  predictions:  {0: 1337, 1: 1082, 2: 74}
7 Accuracy:  64.09947853991176  predictions:  {0: 1392, 1: 949, 2: 152}
8 Accuracy:  64.86161251504213  predictions:  {0: 1410, 1: 948, 2: 135}
9 Accuracy:  64.21981548335339  predictions:  {0: 1349, 1: 998, 2: 146}
10 Accuracy:  64.94183714400322  predictions:  {0: 1320, 1: 1013, 2: 160}
11 Accuracy:  64.86161251504213  predictions:  {0: 1398, 1: 989, 2: 106}
12 Accuracy:  65.30284797432812  predictions:  {0: 1340, 1: 974, 2: 179}
13 Accuracy:  66.94745286803048  predictions:  {0: 1325, 1: 945, 2: 223}
14 Accuracy:  65.30284797432812  predictions:  {0: 1379, 1: 957, 2: 157}
15 Accuracy:  65.54352186121139  predictions:  {0: 1390, 1: 936, 2: 167}
16 Accuracy:  65.70397111913357  predictions:  {0: 1275, 1: 972, 2: 246}
17 Accuracy:  65.34296028880865  predictions:  {0: 1274, 1: 1013, 2: 206}
18 Accuracy:  65.9045326915363  predictions:  {0: 1304, 1: 940, 2: 249}
19 Accuracy:  66.02486963497793  predictions:  {0: 1372, 1: 907, 2: 214}
20 Accuracy:  66.22543120738067  predictions:  {0: 1385, 1: 909, 2: 199}
21 Accuracy:  66.22543120738067  predictions:  {0: 1294, 1: 954, 2: 245}
22 Accuracy:  65.38307260328921  predictions:  {0: 1263, 1: 976, 2: 254}
23 Accuracy:  65.66385880465303  predictions:  {0: 1239, 1: 994, 2: 260}
24 Accuracy:  65.78419574809466  predictions:  {0: 1283, 1: 1032, 2: 178}
25 Accuracy:  66.30565583634176  predictions:  {0: 1322, 1: 1002, 2: 169}
26 Accuracy:  65.86442037705575  predictions:  {0: 1248, 1: 953, 2: 292}
27 Accuracy:  65.74408343361412  predictions:  {0: 1387, 1: 936, 2: 170}
28 Accuracy:  64.42037705575612  predictions:  {0: 1132, 1: 1014, 2: 347}
29 Accuracy:  65.30284797432812  predictions:  {0: 1115, 1: 1018, 2: 360}
30 Accuracy:  66.06498194945848  predictions:  {0: 1326, 1: 918, 2: 249}
31 Accuracy:  65.0220617729643  predictions:  {0: 1227, 1: 982, 2: 284}
32 Accuracy:  65.50340954673085  predictions:  {0: 1258, 1: 997, 2: 238}
33 Accuracy:  65.42318491776975  predictions:  {0: 1172, 1: 1090, 2: 231}
34 Accuracy:  66.06498194945848  predictions:  {0: 1372, 1: 910, 2: 211}
35 Accuracy:  66.14520657841958  predictions:  {0: 1268, 1: 973, 2: 252}
36 Accuracy:  65.34296028880865  predictions:  {0: 1188, 1: 953, 2: 352}
